City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1,Tutoia,BR,80.24,light rain,-2.7619,-42.2744,Pousada Guará's
6,Kavieng,PG,83.05,moderate rain,-2.5744,150.7967,Nusa Island Retreat
10,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
17,Cabo San Lucas,MX,80.91,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
19,Teodoro Sampaio,BR,77.63,scattered clouds,-22.5325,-52.1675,MINI HOTEL
22,Sinnamary,GF,77.9,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
24,Rikitea,PF,76.17,broken clouds,-23.1203,-134.9692,People ThankYou
25,Robertsport,LR,81.84,light rain,6.7533,-11.3686,Kwepunha Retreat
32,Butaritari,KI,83.17,broken clouds,3.0707,172.7902,Isles Sunset Lodge
38,Atuona,PF,78.71,clear sky,-9.8,-139.0333,Villa Enata
39,Manokwari,ID,81.88,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
51,Daru,PG,86.22,overcast clouds,-9.0763,143.2092,Daru Lodge
53,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
58,Matara,LK,76.08,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
71,Vao,NC,76.89,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
74,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti Beach Resort
85,Byron Bay,AU,78.06,light rain,-28.65,153.6167,Backpackers Inn
88,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
94,San Patricio,US,75.88,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
97,Manggar,ID,77.74,overcast clouds,-2.8833,108.2667,Guest Hotel
99,Yenagoa,NG,78.69,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
104,Kahului,US,76.26,broken clouds,20.8947,-156.47,Maui Seaside Hotel
